wavelengths,emissivity
350,-0.42
351,1.69
352,-1.55
353,-2.25
354,3.88
355,-1.13
356,-0.02
357,-0.95
358,-5.44
359,1.93
360,13.94
361,-3.65
362,-1.98
363,-0.21
364,-1.28
365,1.71
366,-5.32
367,1.05
368,2.5
369,-2.47
370,1.26
371,0.9
372,-0.47
373,3.17
374,-1.11
375,4.61
376,-1.79
377,-1.42
378,1.99
379,2.24
380,1.12
381,-3.93
382,0.7
383,2.68
384,0.41
385,0.74
386,-1.86
387,3.11
388,1.28
389,2.09
390,0.64
391,6.59
392,5.48
393,0.66
394,5.57
395,3.21
396,4.7
397,4.71
398,2.56
399,0.68
400,8.89
401,-2.84
402,-1.87
403,-0.18
404,0.89
405,-1.45
406,2.81
407,1.65
408,2.5
409,3.3
410,3.31
411,-1.09
412,0.7
413,-3.09
414,-1.25
415,1.65
416,-0.38
417,5.72
418,0.85
419,-1.35
420,1.15
421,-0.35
422,1.33
423,2.29
424,0.34
425,2.67
426,0.42
427,4.58
428,2.25
429,2.02
430,1.61
431,2.63
432,3.87
433,0.35
434,3.46
435,0.96
436,-2.75
437,1.33
438,4.59
439,1.79
440,1.61
441,-0.73
442,4.38
443,0.53
444,-1.88
445,3.23
446,0.87
447,-0.21
448,1.63
449,3.34
450,5.52
451,4.01
452,1.99
453,2.71
454,-0.13
455,1.59
456,2.91
457,2.01
458,-1
459,0.34
460,2.58
461,1.2
462,2.78
463,-0.33
464,2.79
465,2.74
466,2.92
467,1.57
468,3.72
469,2.7
470,0.98
471,2.72
472,2.31
473,-1.64
474,-2.5
475,-0.59
476,-0.31
477,4.12
478,2.63
479,-0.76
480,-0.51
481,2.99
482,2.83
483,-1.52
484,2.1
485,0.82
486,4.32
487,1
488,0.01
489,-1.44
490,-0.65
491,1.14
492,3.15
493,5.55
494,2.71
495,3.79
496,3.22
497,2.58
498,0.04
499,0.77
500,-1.98
501,-1.12
502,6.28
503,-0.9
504,-1.5
505,-0.59
506,-0.86
507,-0.44
508,1.11
509,3.53
510,2.93
511,0.06
512,-2.22
513,0.56
514,-0.72
515,-1.29
516,2.2
517,-1.19
518,-0.79
519,2.44
520,-0.78
521,2.24
522,-3.26
523,-0.1
524,0.92
525,6.15
526,1.56
527,2.97
528,-2.05
529,0.93
530,4.19
531,-1.67
532,2.48
533,4.4
534,0.81
535,2.55
536,-2.85
537,1.23
538,2.15
539,-1.84
540,-2.32
541,-1.02
542,2.68
543,3.01
544,-1.43
545,-3.8
546,1.64
547,-2.83
548,3.63
549,1.54
550,3.3
551,-2.22
552,-1.49
553,2.41
554,-2.54
555,0.76
556,4.05
557,0.78
558,0.86
559,2.56
560,-4.51
561,1.03
562,0.82
563,4.51
564,-0.57
565,2.8
566,1.67
567,-1.95
568,0.74
569,2.43
570,-0.43
571,1.8
572,1.11
573,2.57
574,2.15
575,-0.19
576,6.53
577,-2.15
578,-0.41
579,2.79
580,1.78
581,-2.81
582,-0.3
583,-2.86
584,-2.2
585,-1.55
586,3.39
587,-0.3
588,-0.4
589,-0.97
590,-1.9
591,-0.71
592,1.13
593,2.24
594,-0.47
595,-2.95
596,1.43
597,0.84
598,4.91
599,0.19
600,-3.24
601,0.58
602,0.96
603,-4.4
604,1.32
605,4.13
606,-4.69
607,-2.45
608,-0.05
609,2.38
610,0.06
611,1.71
612,-1.52
613,-0.74
614,-1.51
615,-0.1
616,4.52
617,1.84
618,-2.55
619,1.04
620,-1.91
621,3.73
622,-1.42
623,2.22
624,-3.1
625,-2.21
626,1.99
627,-1.5
628,-0.75
629,-0.5
630,-0.41
631,-1.21
632,-0.48
633,-1.07
634,2.78
635,-0.64
636,-0.48
637,4
638,-4.43
639,-2.41
640,-4.43
641,-0.13
642,0.7
643,5.04
644,-1.24
645,-3.08
646,-2.02
647,0.12
648,0.65
649,-1.42
650,-3.17
651,3.29
652,-0.95
653,0.07
654,1.59
655,-7.11
656,0.49
