wavelengths,emissivity
350,-4.02
351,-3.67
352,1.56
353,-5.35
354,0.68
355,-3.53
356,-3.27
357,-3.09
358,-1.86
359,0.31
360,21.5
361,0.7
362,0.83
363,-3.83
364,1.84
365,-0.47
366,2.38
367,-0.69
368,0.57
369,-0.16
370,3.9
371,1.25
372,2.74
373,2.23
374,2.42
375,2.4
376,2.78
377,3.09
378,2
379,4.47
380,6.3
381,1.22
382,7.67
383,2.58
384,3.81
385,9.61
386,6.81
387,9.68
388,5
389,9.28
390,5.79
391,9.14
392,9.26
393,7.23
394,17.17
395,14.1
396,12.36
397,13.6
398,14.24
399,11.66
400,16.43
401,14.97
402,20.76
403,21.58
404,20.63
405,20.48
406,24.07
407,21.68
408,21.56
409,25.51
410,31.74
411,28.94
412,27.28
413,25.4
414,33.14
415,28.47
416,34.35
417,32.43
418,35.69
419,32.94
420,38.14
421,45.26
422,42.25
423,42.7
424,40.86
425,47.39
426,51.07
427,55.09
428,57.96
429,57.92
430,57.3
431,63.83
432,64.04
433,67.92
434,67.53
435,67.92
436,93.97
437,91.44
438,82.83
439,84.42
440,88.37
441,92.9
442,91.73
443,90.07
444,96.05
445,100.95
446,99.63
447,105.27
448,105.92
449,107.57
450,114.97
451,111.22
452,116.54
453,127.68
454,113.03
455,129.05
456,137.43
457,141.87
458,148.47
459,144.94
460,156.07
461,160.59
462,153.48
463,172.34
464,182.92
465,171.84
466,188.66
467,184.1
468,203.19
469,209.13
470,214.91
471,231.79
472,239.76
473,243.16
474,256.49
475,273.39
476,288.34
477,295.28
478,321.9
479,331.89
480,347.22
481,358.42
482,376.73
483,393.09
484,425.87
485,445.16
486,447.72
487,479.31
488,491.79
489,512.22
490,523.48
491,532.03
492,552.33
493,567.95
494,574.04
495,600.73
496,627.5
497,622.35
498,626.24
499,643.15
500,664.35
501,666.63
502,672.58
503,698.89
504,706.82
505,706.84
506,715.53
507,739.05
508,753.17
509,762.03
510,760.8
511,770.12
512,792.96
513,796.29
514,805.38
515,827.72
516,832.91
517,857.16
518,851.45
519,866.12
520,882.07
521,895.45
522,901.97
523,915.87
524,926.5
525,950.65
526,964.11
527,954.98
528,958.64
529,970.94
530,976.13
531,1005.1
532,1007.99
533,1019.37
534,1034.06
535,1029.91
536,1056.35
537,1066.01
538,1071.3
539,1071.65
540,1096.82
541,1114.6
542,1147.77
543,1177.13
544,1206.01
545,1189.96
546,1192.43
547,1199.21
548,1175.67
