wavelengths,emissivity
350,-1.31
351,-3.24
352,-2.05
353,-4.48
354,-0.76
355,-3.47
356,0.77
357,-2.98
358,-1.51
359,0.97
360,19.57
361,-2.88
362,-1.29
363,3.44
364,0.95
365,-2.24
366,-0.46
367,0.96
368,-0.49
369,-0.65
370,-1.22
371,-1.43
372,-1.19
373,0.44
374,-0.88
375,1.64
376,1.53
377,0.49
378,1.16
379,1.26
380,-2.38
381,2.65
382,-2.28
383,0.39
384,0.95
385,2.69
386,3.06
387,2.08
388,1.63
389,1.17
390,1.32
391,2.39
392,3.02
393,4.9
394,12.44
395,7.38
396,6.31
397,11.71
398,15.2
399,5.57
400,15.2
401,10.68
402,15.26
403,16.15
404,17.35
405,12.68
406,25.92
407,18.42
408,27.87
409,22.29
410,28.34
411,26.44
412,27.5
413,30.4
414,31.55
415,30.42
416,34.54
417,32.43
418,33.24
419,31.82
420,35.33
421,49.09
422,37.72
423,38.74
424,44.38
425,50.75
426,54.65
427,47.49
428,56.43
429,57
430,54.68
431,60.19
432,62.78
433,63.06
434,67.56
435,70.61
436,64.62
437,74.32
438,76.05
439,77.52
440,76.45
441,81.86
442,77.66
443,89.31
444,91.37
445,89.84
446,97.24
447,91.34
448,93.77
449,96.58
450,104.53
451,105.27
452,113.44
453,115.71
454,105.92
455,112.87
456,121.26
457,120.61
458,122.74
459,131.91
460,133.43
461,133.97
462,140.59
463,154.79
464,151.46
465,154.79
466,160.57
467,165.51
468,177.77
469,182.81
470,187.8
471,193.9
472,204.68
473,214.04
474,227.17
475,223.78
476,245.12
477,256.75
478,270.27
479,279.6
480,300.9
481,307.96
482,321.09
483,343.24
484,349.2
485,366.67
486,374.16
487,388.28
488,409.59
489,422.77
490,428.7
491,455.17
492,454.99
493,467.33
494,479.38
495,488.16
496,513.58
497,504.53
498,520.09
499,527.89
500,540.33
501,548.11
502,558.43
503,559.44
504,585.03
505,576.29
506,587.84
507,590
508,611.45
509,609.73
510,629.34
511,631.34
512,652.95
513,636.65
514,667.86
515,666.94
516,679.93
517,672.9
518,691.74
519,704.36
520,708.31
521,721.19
522,735.6
523,724.34
524,752.26
525,754.44
526,747.45
527,770.44
528,763.04
529,776.34
530,792.57
531,798.28
532,786.7
533,795.25
534,809.69
535,812.48
536,820.92
537,832.07
538,845.43
539,842.7
540,860.24
541,858.57
542,866.71
543,884.7
544,898.66
545,879.56
546,895.08
547,912.13
548,908.5
549,919.15
550,927.18
551,939.23
552,929.53
553,943.28
554,946.42
555,967.58
556,976.96
557,966.01
558,979.87
559,998.22
560,985.41
561,1006.77
562,1001.4
563,1010.46
564,1016.04
565,1025.84
566,1010.01
567,1049.11
568,1038.87
569,1054.19
570,1021.47
571,1058.52
572,1067.94
573,1058.51
574,1052.23
575,1083.21
576,1065.78
577,1074.46
578,1084.58
579,1096.07
580,1106.71
581,1096.01
582,1090.75
583,1093.1
584,1102.55
585,1121.59
586,1116.03
587,1117.46
588,1097.3
589,1119.95
590,1119.58
591,1127.78
592,1125.17
593,1145.52
594,1134.96
595,1156.67
596,1142.21
597,1145.13
598,1142.09
599,1147.78
600,1163.99
601,1159.33
602,1171.99
603,1153.91
604,1182.21
605,1191.45
606,1193.58
607,1189.86
608,1197.37
609,1183.48
610,1201.57
611,1214.86
612,1222.84
613,1224.96
614,1215.35
615,1204.14
616,1222.55
617,1209.87
618,1213.78
619,1211.1
620,1223.98
621,1229.44
622,1226.56
623,1234.6
624,1248.39
625,1226.92
626,1223.57
627,1224.76
628,1225.92
629,1250.78
630,1249.08
631,1212.99
632,1228.94
633,1223.64
634,1218.58
635,1214.99
636,1213.31
637,1220.71
638,1206.61
639,1198.19
640,1217.76
641,1213.72
642,1203.51
643,1213.54
644,1203.37
645,1198.64
646,1205.17
647,1182.02
648,1172.26
649,1192.48
650,1202.13
651,1181.71
652,1186.98
653,1198.56
654,1185.28
655,1169.4
656,1170.35
657,1167.87
658,1171.67
659,1178.55
660,1163.54
661,1179.67
662,1187.89
663,1161.93
664,1166.22
665,1147.13
666,1153.09
667,1157.87
668,1149.81
669,1134.02
670,1167.27
671,1153.79
672,1140.21
673,1127.41
674,1130.04
675,1127.15
676,1133.05
677,1132.6
678,1125.14
679,1133.62
680,1117.57
681,1118.58
682,1113.53
683,1099.55
684,1097.6
685,1085.39
686,1075.1
687,1093.74
688,1061.79
689,1074.58
690,1068.49
691,1059.42
692,1053.8
693,1056.69
694,1040.37
695,1035.36
696,1050.89
697,1032.24
698,1042.31
699,1019.98
700,1007.85
701,1020.24
702,997.57
703,996.31
704,963.14
705,985.28
706,974.56
707,961.83
708,960.13
709,970.06
710,960.87
711,980.42
712,934.38
713,955.87
714,939.93
715,922.68
716,931.4
717,932.45
718,916.35
719,904.17
720,903.54
721,914.78
722,900.8
723,893.53
724,884.33
725,875.43
726,873.49
727,862.5
728,866.43
729,856.46
730,864.2
731,863.38
732,864.44
733,865.55
734,851.43
735,846.53
736,835.48
737,841.34
738,826.43
739,819.59
740,831.81
741,814.39
742,812.84
743,797.35
744,789.78
745,803.16
746,787.77
747,786.44
748,783.05
749,772.01
750,779.64
751,766.45
752,758.95
753,761.76
754,749.18
755,747.47
756,734.15
757,738.92
758,741.93
759,741.58
760,727.51
761,716.06
762,725.98
763,715.33
764,704.12
765,706.46
766,682.29
767,691.34
768,687.74
769,679.77
770,658.51
771,660.51
772,654.8
773,641.89
774,655.95
775,646.98
776,631.97
777,628.22
778,627.17
779,611.55
780,620.86
781,607.67
782,603.53
783,588.82
784,577.82
785,579.9
786,571.17
787,582.44
788,555.71
789,560.36
790,565.29
791,549.59
792,552.35
793,541.84
794,550.28
795,529.73
796,529.26
797,537.75
798,540.15
799,537.46
800,534.79
801,527.09
802,534.86
803,530.26
804,532.02
805,523.11
806,514.47
807,517.77
808,515.24
809,501.44
810,513.39
811,499.55
812,500.59
813,488.19
814,496.99
815,478.77
816,475.94
817,478.6
818,474.25
819,464.45
820,455.05
821,468.72
822,456.24
823,458.99
824,446.9
825,435.77
826,451.03
827,442.43
828,433.63
829,429.59
830,424.01
831,412.16
832,412.15
833,417.49
834,403.67
835,406.02
836,400.38
837,403.27
838,396.15
839,399.73
840,386.65
841,389.52
842,382.65
843,378.7
844,385.76
845,395.43
846,375.18
847,372.77
848,371.56
849,373.29
850,366.96
851,365.76
852,356.29
853,346.72
854,361.32
855,351.63
856,346.63
857,343.81
858,338.27
859,349.53
860,349.62
861,330.65
862,341.63
863,332.19
864,313.92
865,330.35
866,324.56
867,322.96
868,326.95
869,317.72
870,316.84
871,302.27
872,313.65
873,301.9
874,299.28
875,292.83
876,294.82
877,295.49
878,289.77
879,295.62
880,284.35
881,289.31
882,290.14
883,284.28
884,284.91
885,290.82
886,296.86
887,294.87
888,284.26
889,285.37
890,289.97
891,282.87
892,289.29
893,278.63
894,283.33
895,288.14
896,281.46
897,279.58
898,276.38
899,277.43
900,280.01
901,271.13
902,265.41
903,273.98
904,273.63
905,274.03
906,268.59
907,258.97
908,255.62
909,253.03
910,259.86
911,254.24
912,241.38
913,242.33
914,240.49
915,241.14
916,228.95
917,238.03
918,225.94
919,232.03
920,224.15
921,212.93
922,216.45
923,216.29
924,207.21
925,211.27
926,194.24
927,198.51
928,203.63
929,193.78
930,195.1
931,195.4
932,189.54
933,176.71
934,179.47
935,177.36
936,174.02
937,172.95
938,167.57
939,162.98
940,167.54
941,163.76
942,154.91
943,157.36
944,160.43
945,150.43
946,144.35
947,146.15
948,143.23
949,142.83
950,130.07
951,133.94
952,137.92
953,138.49
954,131.28
955,120.61
956,129.7
957,126.67
958,131.98
959,114.92
960,115.8
961,107.48
962,107.45
963,99.34
964,102.68
965,105.58
966,103.31
967,98.98
968,95.81
969,89.82
970,96.79
971,90.37
972,94.89
973,89.25
974,85.95
975,93.06
976,78.48
977,82.52
978,88.7
979,84.07
980,73.61
981,73.69
982,76.06
983,68.58
984,69.43
985,66.53
986,66.31
987,69.35
988,65.47
989,64.73
990,62.61
991,51.64
992,59.11
993,61.48
994,52.74
995,53.89
996,54.42
997,55.19
998,49.58
999,48.42
1000,47.93
